LoopCLI WebUI Server running on http://127.0.0.1:8080
Static files served from: D:\loopcli\main\webui
Agent root: D:\loopcli
Press Ctrl+C to stop.
[18:29:33] "GET /api/agents HTTP/1.1" 200 -
[18:29:36] "GET /api/screenshots HTTP/1.1" 200 -
[18:29:41] "GET / HTTP/1.1" 200 -
[18:29:42] "GET /api/agents HTTP/1.1" 200 -
[18:29:43] "GET /api/agents HTTP/1.1" 200 -
[18:29:43] "GET /api/agents HTTP/1.1" 200 -
[18:29:44] "GET /api/tasks HTTP/1.1" 200 -
[18:29:44] "GET /api/logs HTTP/1.1" 200 -
[18:29:45] "GET /api/screenshots HTTP/1.1" 200 -
[18:29:45] "GET /screenshots/test_responsive_%E6%89%8B%E6%9C%BA_20260522_182137.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_initial_state_20260522_182126.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_theme_light_20260522_182405.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_initial_state_20260522_182359.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_theme_light_20260522_182133.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_theme_cyberpunk_20260522_182133.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_responsive_%E6%A1%8C%E9%9D%A2_20260522_182137.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_responsive_%E5%B9%B3%E6%9D%BF_20260522_182137.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_theme_cyberpunk_20260522_181925.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_responsive_%E5%B9%B3%E6%9D%BF_20260522_181929.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_responsive_%E6%A1%8C%E9%9D%A2_20260522_181929.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_theme_dark_20260522_182133.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_theme_dark_20260522_181925.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_responsive_%E6%89%8B%E6%9C%BA_20260522_182410.png HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_responsive_%E6%89%8B%E6%9C%BA_20260522_181930.png HTTP/1.1" 200 -
[18:29:46] "GET /api/longtask HTTP/1.1" 200 -
[18:29:46] "GET /screenshots/test_responsive_%E5%B9%B3%E6%9D%BF_20260522_182410.png HTTP/1.1" 200 -
